parātus (prepared / ready)	q.v. parō																																																																																																																																																																												
paucī (few)	paucity																																																																																																																																																																												
pauper (poor)	impoverish	pauper	pauperism	poor	poorhouse	poverty																																																																																																																																																																							
territus (frightened)	q.v. terreō																																																																																																																																																																												
pār (equal)	apparel	comparable	comparative	compare	comparison	compeer	disparage	disparagement	disparity	incomparable	pair	parity	peer	peerage	peeress	peerless	umpire																																																																																																																																																												
plēnus (full)	accomplish	complement	complementary	complete	completion	compliance	compliant	compliment	complimentary	comply	deplete	depletion	expletive	implement	incomplete	plenary	plenipotentiary	plenitude	plentiful	plenty	replenish	supplement	supplemental	supplementary	supply																																																																																																																																																				
potēns (powerful)	q.v. possum																																																																																																																																																																												
prūdēns (wise)	q.v. videō																																																																																																																																																																												
pulcher (beautiful)	pulchritude	pulchritudinous																																																																																																																																																																											
rūsticus (rustic / of the country)	q.v. rūs																																																																																																																																																																												
sacer (sacred)	consecrate	consecration	desecrate	desecration	execrable	execrate	execrate	reconsecrate	sacerdotal	sacrament	sacramental	sacred	sacrifice	sacrificial	sacrilege	sacrilegious	sexton																																																																																																																																																												
sānus (healthy / sane)	insane	insanity	sane	sanitarium	sanitary	sanitation	sanity	unsanitary																																																																																																																																																																					
